17.01.2019 00:00:52: TOKEN [uzkwwn5nwtr3o3qk6] FOR Steve Jobs(76561198065853636) OWNER: 5, ID: 8.62983e+008, JIP: true
17.01.2019 00:12:18: TOKEN [y1kajekjtwuys7occ] FOR Steve Jobs(76561198065853636) OWNER: 4, ID: 1.51873e+009, JIP: true
17.01.2019 00:28:36: TOKEN [kaneflhi1v33qy] FOR Steve Jobs(76561198065853636) OWNER: 4, ID: 3.76617e+008, JIP: true
17.01.2019 00:33:23: TOKEN [a86eoat6ej5cxeb3] FOR Steve Jobs(76561198065853636) OWNER: 4, ID: 6.64198e+008, JIP: true
17.01.2019 00:38:52: TOKEN [uwzpeasydj7cgrc48] FOR Steve Jobs(76561198065853636) OWNER: 5, ID: 9.92841e+008, JIP: true
17.01.2019 00:40:27: TOKEN [lt4s7pw03032q5] FOR Steve Jobs(76561198065853636) OWNER: 6, ID: 1.08815e+009, JIP: true
17.01.2019 00:41:54: TOKEN [qn6jqymicumqnvw] FOR Steve Jobs(76561198065853636) OWNER: 7, ID: 1.17531e+009, JIP: true
17.01.2019 00:44:41: TOKEN [dudzholmb3q0otyc4b] FOR Steve Jobs(76561198065853636) OWNER: 8, ID: 1.34205e+009, JIP: true
17.01.2019 01:29:20: TOKEN [jfkcd4fuwiz04nx] FOR Steve Jobs(76561198065853636) OWNER: 4, ID: 1.81684e+009, JIP: true
17.01.2019 01:46:34: TOKEN [lrpjkhqg9ebzpgc1gp] FOR Steve Jobs(76561198065853636) OWNER: 5, ID: 7.55349e+008, JIP: true
17.01.2019 02:21:28: TOKEN [bgbwc9rdw1a6phzhtw] FOR Steve Jobs(76561198065853636) OWNER: 4, ID: 6.78434e+008, JIP: true
17.01.2019 02:52:29: TOKEN [phc3m63mzpmp533h] FOR Steve Jobs(76561198065853636) OWNER: 5, ID: 4.13921e+008, JIP: true
17.01.2019 20:35:09: TOKEN [pzvzsve8l0vef4vns] FOR Steve Jobs(76561198065853636) OWNER: 4, ID: 1.86147e+009, JIP: true
17.01.2019 20:36:33: TOKEN [dbitrdlx9v44uy2j] FOR Steve Jobs(76561198065853636) OWNER: 5, ID: 1.98941e+009, JIP: true
17.01.2019 20:40:34: TOKEN [f1juttc8nb529r] FOR Steve Jobs(76561198065853636) OWNER: 4, ID: 6.53963e+007, JIP: true
17.01.2019 20:45:32: TOKEN [yhbzntrxkdfn66y8] FOR Steve Jobs(76561198065853636) OWNER: 5, ID: 3.81209e+008, JIP: true
17.01.2019 20:48:12: TOKEN [v85lretrlkcz8c054z] FOR Steve Jobs(76561198065853636) OWNER: 4, ID: 5.25615e+008, JIP: true
17.01.2019 20:51:36: TOKEN [x8i2cjsm6cj2gklk5zl] FOR Steve Jobs(76561198065853636) OWNER: 4, ID: 7.25692e+008, JIP: true
17.01.2019 20:55:24: TOKEN [mjtaki6pk28naae3] FOR Steve Jobs(76561198065853636) OWNER: 4, ID: 9.53527e+008, JIP: true
